"station","J","F","M","A","M","J","J","A","S","O","N","D"
"USC00500125","3","3","3","2","2","3","0","0","4","3","6","6"
"USC00500230","11","17","19","28","38","32","39","32","37","24","26","15"
"USC00500243","38","38","35","36","30","32","36","36","33","29","33","35"
"USC00500252","4","5","6","5","6","3","2","3","5","6","5","5"
"USC00500270","4","3","1","1","5","8","4","3","2","3","3","4"
"USC00500302","27","31","31","28","31","32","26","32","30","30","27","25"
"USC00500310","37","38","39","26","35","28","23","28","27","30","34","31"
"USC00500363","64","67","60","59","53","53","53","51","55","61","63","60"
"USC00500396","10","10","10","10","11","8","10","7","10","10","10","9"
"USC00500433","8","8","10","8","8","4","5","5","5","8","8","9"
"USC00500452","19","18","22","21","29","30","27","32","29","28","21","23"
"USC00500464","47","49","47","48","47","48","46","47","46","45","44","44"
"USC00500522","22","23","21","20","24","20","14","18","17","21","23","21"
"USC00500657","41","41","41","47","48","49","52","51","53","51","41","42"
"USC00500676","16","18","20","15","9","12","8","7","15","16","17","17"
"USC00500707","17","18","19","23","30","30","29","31","27","22","19","16"
"USC00500788","27","30","25","26","24","27","27","25","27","26","27","21"
"USC00500804","5","5","5","5","6","4","5","3","4","4","3","6"
"USC00500986","1","2","2","1","3","11","15","10","8","3","2","1"
"USC00501017","0","0","0","0","0","15","15","18","8","0","0","0"
"USC00501201","13","14","10","11","4","4","2","5","3","6","14","18"
"USC00501230","3","5","1","4","2","2","3","4","5","2","2","1"
"USC00501240","28","28","30","29","29","29","29","25","30","30","25","31"
"USC00501243","26","24","26","23","24","26","25","24","21","18","25","23"
"USC00501251","13","13","11","10","8","7","7","8","7","8","10","13"
"USC00501269","11","13","13","19","19","19","16","19","18","17","13","14"
"USC00501308","19","17","15","20","21","24","23","24","23","26","20","20"
"USC00501312","19","19","20","20","25","24","24","23","21","22","23","18"
"USC00501314","27","26","28","28","28","24","25","23","27","27","28","22"
"USC00501318","27","25","26","28","29","28","28","27","29","28","30","22"
"USC00501321","18","22","20","21","26","27","25","24","23","22","25","18"
"USC00501325","15","13","12","19","21","19","22","22","23","18","17","10"
"USC00501334","13","13","11","21","17","20","22","17","18","18","18","16"
"USC00501458","7","6","6","7","5","2","4","3","6","6","3","7"
"USC00501466","25","25","21","28","28","28","26","29","31","23","25","17"
"USC00501492","28","27","25","26","29","27","28","30","25","20","25","22"
"USC00501574","11","12","12","12","11","12","13","13","12","14","14","11"
"USC00501662","14","13","13","13","16","12","15","10","8","14","10","4"
"USC00501684","13","15","13","16","12","13","11","12","11","11","13","14"
"USC00501716","10","10","10","11","12","9","9","11","10","9","10","8"
"USC00501824","16","18","18","19","19","20","15","18","21","23","16","7"
"USC00501926","17","27","21","19","17","21","17","21","21","18","17","9"
"USC00501977","12","16","12","11","8","8","9","6","5","5","4","10"
"USC00501987","29","30","33","35","30","32","31","31","34","36","37","28"
"USC00502005","5","11","8","4","9","7","4","9","5","4","6","4"
"USC00502019","25","28","28","27","27","28","24","26","24","27","28","30"
"USC00502084","0","4","2","5","7","7","7","6","7","7","5","5"
"USC00502107","52","58","59","59","57","62","59","56","60","59","60","59"
"USC00502112","29","29","34","35","30","28","29","31","34","30","29","29"
"USC00502144","28","31","36","36","26","23","17","14","17","33","25","28"
"USC00502149","3","4","7","15","16","20","16","23","19","8","7","3"
"USC00502156","5","5","4","7","3","2","2","2","7","6","8","6"
"USC00502173","22","27","27","28","27","30","31","30","32","31","22","24"
"USC00502227","15","10","16","16","22","18","18","19","20","17","15","16"
"USC00502247","13","14","12","13","13","12","13","11","13","15","10","12"
"USC00502327","0","0","0","1","1","0","0","0","0","0","0","0"
"USC00502352","9","12","11","15","16","16","15","14","14","9","12","10"
"USC00502457","38","41","33","38","48","42","48","49","51","42","40","38"
"USC00502522","3","4","5","6","8","7","8","9","1","4","4","2"
"USC00502587","34","36","34","38","43","40","39","40","41","38","39","33"
"USC00502642","2","3","2","2","3","3","2","3","0","2","3","4"
"USC00502656","19","19","18","19","20","18","19","20","20","18","18","19"
"USC00502707","48","53","54","54","53","53","51","54","55","54","53","51"
"USC00502711","0","0","0","0","0","2","3","4","0","0","0","0"
"USC00502725","12","7","10","11","22","20","19","23","25","19","12","8"
"USC00502730","36","33","35","32","31","34","34","34","35","31","33","33"
"USC00502770","14","15","14","25","28","26","25","25","23","26","19","13"
